diff_pair_name,leg,driver_pin,load_label,net_name,voh,vol,vos,rise_time_ns,fall_time_ns,peak_v,trough_v,overshoot_pct,undershoot_pct
GTY_REFCLK_122,P,U77-60,MGTREFCLK0P_122,GTY_REFCLK_122_P,1.4387,1.0511,1.2423,0.2418,0.2435,1.4685,1.0233,7.6755,7.1836
GTY_REFCLK_122,N,U77-61,MGTREFCLK0N_122,GTY_REFCLK_122_N,1.4421,1.0520,1.2459,0.2442,0.2551,1.4679,1.0239,6.6060,7.2024
GTY_REFCLK_123,P,U77-56,MGTREFCLK0P_123,GTY_REFCLK_123_P,1.4353,1.0549,1.2495,0.2411,0.2565,1.4657,1.0261,7.9896,7.5824
GTY_REFCLK_123,N,U77-57,MGTREFCLK0N_123,GTY_REFCLK_123_N,1.4442,1.0501,1.2453,0.2515,0.2405,1.4622,1.0281,4.5630,5.5772
GTY_REFCLK_130,P,U77-51,MGTREFCLK1P_130,GTY_REFCLK_130_P,1.4392,1.0527,1.2418,0.2417,0.2432,1.4657,1.0242,6.8492,7.3577
GTY_REFCLK_130,N,U77-52,MGTREFCLK1N_130,GTY_REFCLK_130_N,1.4370,1.0541,1.2461,0.2392,0.2461,1.4613,1.0303,6.3465,6.2328
GTY_REFCLK_131,P,U77-49,MGTREFCLK1P_131,GTY_REFCLK_131_P,1.4361,1.0507,1.2474,0.2464,0.2435,1.4634,1.0278,7.0852,5.9628
GTY_REFCLK_131,N,U77-50,MGTREFCLK1N_131,GTY_REFCLK_131_N,1.4365,1.0505,1.2481,0.2440,0.2470,1.4663,1.0290,7.7200,5.5635
GTY_REFCLK_226,P,U77-3,MGTREFCLK0P_226,GTY_REFCLK_226_P,1.4351,1.0474,1.2454,0.2831,0.2752,1.4972,0.9933,16.0220,13.9326
GTY_REFCLK_226,N,U77-4,MGTREFCLK0N_226,GTY_REFCLK_226_N,1.4397,1.0461,1.2453,0.2736,0.2922,1.4934,0.9990,13.6411,11.9527
GTY_REFCLK_227,P,U77-13,MGTREFCLK0P_227,GTY_REFCLK_227_P,1.4354,1.0477,1.2423,0.2887,0.2823,1.4920,0.9950,14.5780,13.5957
GTY_REFCLK_227,N,U77-14,MGTREFCLK0N_227,GTY_REFCLK_227_N,1.4443,1.0542,1.2499,0.2859,0.2778,1.4979,0.9928,13.7387,15.7271
GTY_REFCLK_230,P,U77-1,MGTREFCLK0P_230,GTY_REFCLK_230_P,1.4394,1.0465,1.2492,0.2426,0.2287,1.4453,1.0388,1.5001,1.9480
