net_name,run_id,driver_pin,driver_model,rx_pins,rx_model,n_rx,series_r,z0_avg,delay_ps,length_in,cap_pf,voh,vol,rise_time_ns,fall_time_ns,overshoot_pct,undershoot_pct,nmh,nml,peak_v,trough_v,gamma_source,settling_time_ns,notes
TR0_EXT_SYNC_P1V8,A,U10-H14,FPGA_LVCMOS18,LVC8T245 via R428,LVC8T245_18,1,R428,45.5,844.3,5.529,18.6,1.731,0.069,5.14,5.12,0.0,0.0,0.464,0.509,1.731,0.069,0.44,6.16,Outbound: FPGA → LVC8T245 A-port (via R)
TR0_EXT_SYNC_P1V8,B,LVC8T245 via R428,LVC8T245_18,U10-H14,FPGA_LVCMOS18,1,R428,45.5,844.3,5.529,18.6,1.786,0.014,2.57,1.96,9.1,12.1,0.616,0.616,1.95,-0.205,-0.3343,5.28,Inbound: LVC8T245 A-port → FPGA (via R)
TR10_EXT_SYNC_P1V8,A,U10-N14,FPGA_LVCMOS18,LVC8T245 via R267,LVC8T245_18,1,R267,45.7,1110.0,7.245,24.4,1.713,0.087,6.77,6.75,0.0,0.0,0.446,0.491,1.713,0.087,0.4382,8.03,Outbound: FPGA → LVC8T245 A-port (via R)
TR10_EXT_SYNC_P1V8,B,LVC8T245 via R267,LVC8T245_18,U10-N14,FPGA_LVCMOS18,1,R267,45.7,1110.0,7.245,24.4,1.782,0.018,2.37,1.83,13.1,18.3,0.612,0.612,2.019,-0.312,-0.3363,5.72,Inbound: LVC8T245 A-port → FPGA (via R)
TR11_EXT_SYNC_P1V8,A,U10-N13,FPGA_LVCMOS18,LVC8T245 via R266,LVC8T245_18,1,R266,45.7,1119.0,7.306,24.5,1.713,0.087,6.88,6.86,0.0,0.0,0.446,0.491,1.713,0.087,0.4382,8.14,Outbound: FPGA → LVC8T245 A-port (via R)
TR11_EXT_SYNC_P1V8,B,LVC8T245 via R266,LVC8T245_18,U10-N13,FPGA_LVCMOS18,1,R266,45.7,1119.0,7.306,24.5,1.782,0.018,2.37,1.83,13.1,18.3,0.612,0.612,2.019,-0.312,-0.3363,5.72,Inbound: LVC8T245 A-port → FPGA (via R)
TR12_EXT_SYNC_P1V8,A,U10-N16,FPGA_LVCMOS18,LVC8T245 via R265,LVC8T245_18,1,R265,45.8,1122.0,7.323,24.5,1.714,0.086,6.87,6.86,0.0,0.0,0.446,0.491,1.714,0.086,0.4373,8.14,Outbound: FPGA → LVC8T245 A-port (via R)
TR12_EXT_SYNC_P1V8,B,LVC8T245 via R265,LVC8T245_18,U10-N16,FPGA_LVCMOS18,1,R265,45.8,1122.0,7.323,24.5,1.782,0.018,2.37,1.83,13.2,18.4,0.612,0.612,2.019,-0.313,-0.3372,5.72,Inbound: LVC8T245 A-port → FPGA (via R)
TR13_EXT_SYNC_P1V8,A,U10-M16,FPGA_LVCMOS18,LVC8T245 via R264,LVC8T245_18,1,R264,45.8,1131.0,7.38,24.7,1.714,0.086,6.87,6.86,0.0,0.0,0.446,0.491,1.714,0.086,0.4373,8.14,Outbound: FPGA → LVC8T245 A-port (via R)
TR13_EXT_SYNC_P1V8,B,LVC8T245 via R264,LVC8T245_18,U10-M16,FPGA_LVCMOS18,1,R264,45.8,1131.0,7.38,24.7,1.782,0.018,2.37,1.83,13.2,18.4,0.612,0.612,2.019,-0.313,-0.3372,5.72,Inbound: LVC8T245 A-port → FPGA (via R)
TR14_EXT_SYNC_P1V8,A,U10-L15,FPGA_LVCMOS18,LVC8T245 via R263,LVC8T245_18,1,R263,45.8,1125.0,7.345,24.6,1.714,0.086,6.87,6.86,0.0,0.0,0.446,0.491,1.714,0.086,0.4373,8.14,Outbound: FPGA → LVC8T245 A-port (via R)
TR14_EXT_SYNC_P1V8,B,LVC8T245 via R263,LVC8T245_18,U10-L15,FPGA_LVCMOS18,1,R263,45.8,1125.0,7.345,24.6,1.782,0.018,2.37,1.83,13.2,18.4,0.612,0.612,2.019,-0.313,-0.3372,5.72,Inbound: LVC8T245 A-port → FPGA (via R)
TR15_EXT_SYNC_P1V8,A,U10-K15,FPGA_LVCMOS18,LVC8T245 via R262,LVC8T245_18,1,R262,45.8,1134.0,7.406,24.8,1.714,0.086,6.98,6.97,0.0,0.0,0.446,0.491,1.714,0.086,0.4373,8.25,Outbound: FPGA → LVC8T245 A-port (via R)
TR15_EXT_SYNC_P1V8,B,LVC8T245 via R262,LVC8T245_18,U10-K15,FPGA_LVCMOS18,1,R262,45.8,1134.0,7.406,24.8,1.782,0.018,2.37,1.83,13.2,18.4,0.612,0.612,2.019,-0.313,-0.3372,5.72,Inbound: LVC8T245 A-port → FPGA (via R)
TR16_EXT_SYNC_P1V8,A,U10-E36,FPGA_LVCMOS18,LVC8T245 via R141,LVC8T245_18,1,R141,46.0,1645.0,10.741,35.8,1.674,0.126,10.66,10.63,0.0,0.0,0.407,0.452,1.674,0.126,0.4356,11.66,Outbound: FPGA → LVC8T245 A-port (via R)
TR16_EXT_SYNC_P1V8,B,LVC8T245 via R141,LVC8T245_18,U10-E36,FPGA_LVCMOS18,1,R141,46.0,1645.0,10.741,35.8,1.774,0.026,2.25,1.85,25.4,30.7,0.604,0.604,2.231,-0.526,-0.3392,9.57,Inbound: LVC8T245 A-port → FPGA (via R)
