Signal,Driver,Receiver,Failures,Domain
TR0_EXT_SYNC_P3V3 (Run A),U128-1,U128-4,tr=10.08ns (>10.0),P3V3
TR0_EXT_SYNC_P3V3 (Run B),LVC8T245 via R426,"U128-4,U128-1",Peak=3.694V (>3.6); Trough=-0.584V (<-0.3),P3V3
TR10_EXT_SYNC_P3V3 (Run A),U64-1,U64-4,tr=10.04ns (>10.0),P3V3
TR10_EXT_SYNC_P3V3 (Run B),LVC8T245 via R231,"U64-4,U64-1",Peak=3.690V (>3.6); Trough=-0.385V (<-0.3),P3V3
TR11_EXT_SYNC_P3V3 (Run A),U66-1,U66-4,tr=10.04ns (>10.0),P3V3
TR12_EXT_SYNC_P3V3 (Run A),U62-1,U62-4,tr=10.04ns (>10.0),P3V3
TR13_EXT_SYNC_P3V3 (Run A),U59-1,U59-4,tr=10.04ns (>10.0),P3V3
TR14_EXT_SYNC_P3V3 (Run A),U52-1,U52-4,tr=10.07ns (>10.0),P3V3
TR14_EXT_SYNC_P3V3 (Run B),LVC8T245 via R227,"U52-4,U52-1",Peak=3.611V (>3.6); Trough=-0.389V (<-0.3),P3V3
TR15_EXT_SYNC_P3V3 (Run A),U50-1,U50-4,tr=10.10ns (>10.0),P3V3
TR15_EXT_SYNC_P3V3 (Run B),LVC8T245 via R226,"U50-4,U50-1",Peak=3.614V (>3.6); Trough=-0.580V (<-0.3),P3V3
TR16_EXT_SYNC_P3V3 (Run A),U21-1,U21-4,tr=10.09ns (>10.0),P3V3
TR16_EXT_SYNC_P3V3 (Run B),LVC8T245 via R116,"U21-4,U21-1",Peak=3.931V (>3.6); Trough=-0.970V (<-0.3),P3V3
TR17_EXT_SYNC_P3V3 (Run A),U23-1,U23-4,tr=10.11ns (>10.0),P3V3
TR17_EXT_SYNC_P3V3 (Run B),LVC8T245 via R115,"U23-4,U23-1",Peak=3.771V (>3.6); Trough=-0.776V (<-0.3),P3V3
TR18_EXT_SYNC_P3V3 (Run A),U25-1,U25-4,tr=10.10ns (>10.0),P3V3
TR18_EXT_SYNC_P3V3 (Run B),LVC8T245 via R114,"U25-4,U25-1",Peak=3.625V (>3.6); Trough=-0.583V (<-0.3),P3V3
TR19_EXT_SYNC_P3V3 (Run A),U28-1,U28-4,tr=10.05ns (>10.0),P3V3
TR19_EXT_SYNC_P3V3 (Run B),LVC8T245 via R113,"U28-4,U28-1",Peak=3.609V (>3.6),P3V3
TR1_EXT_SYNC_P3V3 (Run A),U125-1,U125-4,tr=10.06ns (>10.0),P3V3
TR20_EXT_SYNC_P3V3 (Run A),U27-1,U27-4,tr=10.06ns (>10.0),P3V3
TR21_EXT_SYNC_P3V3 (Run A),U24-1,U24-4,tr=10.10ns (>10.0),P3V3
TR21_EXT_SYNC_P3V3 (Run B),LVC8T245 via R111,"U24-4,U24-1",Peak=3.624V (>3.6); Trough=-0.586V (<-0.3),P3V3
TR22_EXT_SYNC_P3V3 (Run A),U22-1,U22-4,tr=10.08ns (>10.0),P3V3
TR22_EXT_SYNC_P3V3 (Run B),LVC8T245 via R110,"U22-4,U22-1",Peak=3.929V (>3.6); Trough=-0.966V (<-0.3),P3V3
TR23_EXT_SYNC_P3V3 (Run A),U19-1,U19-4,tr=10.06ns (>10.0),P3V3
TR23_EXT_SYNC_P3V3 (Run B),LVC8T245 via R109,"U19-4,U19-1",Peak=4.084V (>3.6); Trough=-1.145V (<-0.3),P3V3
TR24_EXT_SYNC_P3V3 (Run A),U1-1,U1-4,tr=10.11ns (>10.0),P3V3
TR24_EXT_SYNC_P3V3 (Run B),LVC8T245 via R65,"U1-4,U1-1",Peak=3.770V (>3.6); Trough=-0.769V (<-0.3),P3V3
TR25_EXT_SYNC_P3V3 (Run A),U5-1,U5-4,tr=10.08ns (>10.0),P3V3
TR25_EXT_SYNC_P3V3 (Run B),LVC8T245 via R64,"U5-4,U5-1",Peak=3.692V (>3.6); Trough=-0.579V (<-0.3),P3V3
TR26_EXT_SYNC_P3V3 (Run A),U140-1,U140-4,tr=10.05ns (>10.0),P3V3
TR26_EXT_SYNC_P3V3 (Run B),LVC8T245 via R63,"U140-4,U140-1",Peak=3.610V (>3.6),P3V3
TR27_EXT_SYNC_P3V3 (Run A),U18-1,U18-4,tr=10.04ns (>10.0),P3V3
TR28_EXT_SYNC_P3V3 (Run A),U20-1,U20-4,tr=10.04ns (>10.0),P3V3
TR29_EXT_SYNC_P3V3 (Run A),U14-1,U14-4,tr=10.03ns (>10.0),P3V3
TR2_EXT_SYNC_P3V3 (Run A),U119-1,U119-4,tr=10.05ns (>10.0),P3V3
TR2_EXT_SYNC_P3V3 (Run B),LVC8T245 via R438,"U119-4,U119-1",Peak=3.613V (>3.6),P3V3
TR30_EXT_SYNC_P3V3 (Run A),U6-1,U6-4,tr=10.06ns (>10.0),P3V3
TR31_EXT_SYNC_P3V3 (Run A),U2-1,U2-4,tr=10.10ns (>10.0),P3V3
TR31_EXT_SYNC_P3V3 (Run B),LVC8T245 via R58,"U2-4,U2-1",Peak=3.625V (>3.6); Trough=-0.580V (<-0.3),P3V3
TR32_EXT_SYNC_P3V3 (Run A),U3-1,U3-4,tr=10.07ns (>10.0),P3V3
TR32_EXT_SYNC_P3V3 (Run B),LVC8T245 via R43,"U3-4,U3-1",Peak=3.611V (>3.6); Trough=-0.389V (<-0.3),P3V3
TR33_EXT_SYNC_P3V3 (Run A),U137-1,U137-4,tr=10.05ns (>10.0),P3V3
TR33_EXT_SYNC_P3V3 (Run B),LVC8T245 via R38,"U137-4,U137-1",Peak=3.611V (>3.6),P3V3
