diff_pair_name,net_name,leg,driver_refdes,driver_pin,connector_pin,load_label,z0_pcb,z0_cable,delay_pcb_ps,delay_cable_ns,length_pcb_in,cable_length_ft,voh,vol,rise_time_ns,fall_time_ns,overshoot_pct,undershoot_pct,peak_v,trough_v,gamma_source,settling_time_ns,r_term_diff,r_term_se,notes
CAL_SPI_SDO,CAL_SPI_SDO_P,P,U36,U36-10,J27-1,Load R-1,62.7,120.0,425.4,4.62,2.906,3.0,2.306,-0.001,16.17,15.96,0.9,0.0,2.337,0.009,-0.4299,25.91,124.0,62.0,Y pin (non-inverting) → J27-1 → 3ft cable → 124Ω
CAL_SPI_SDO,CAL_SPI_SDO_N,N,U36,U36-11,J27-2,Load R-2,62.7,120.0,425.4,4.62,2.906,3.0,2.304,0.021,16.13,16.18,0.7,0.4,2.328,0.008,-0.4299,25.91,124.0,62.0,Z pin (inverting) → J27-2 → 3ft cable → 124Ω
CAL_SPI_SCLK,CAL_SPI_SCLK_P,P,U36,U36-6,J27-7,Load R-1,63.0,120.0,411.4,4.62,2.813,3.0,2.337,0.014,16.16,16.0,0.0,0.0,2.323,0.018,-0.4318,25.91,124.0,62.0,Y pin (non-inverting) → J27-7 → 3ft cable → 124Ω
CAL_SPI_SCLK,CAL_SPI_SCLK_N,N,U36,U36-5,J27-8,Load R-2,63.0,120.0,411.4,4.62,2.813,3.0,2.313,0.003,16.16,16.0,0.1,0.0,2.315,0.026,-0.4318,25.91,124.0,62.0,Z pin (inverting) → J27-8 → 3ft cable → 124Ω
CAL_SPI_CS_N,CAL_SPI_CS_N_P,P,U36,U36-14,J27-4,Load R-1,62.6,120.0,579.9,4.62,3.959,3.0,2.322,0.021,16.27,16.18,0.0,0.5,2.309,0.004,-0.4292,26.16,124.0,62.0,Y pin (non-inverting) → J27-4 → 3ft cable → 124Ω
CAL_SPI_CS_N,CAL_SPI_CS_N_N,N,U36,U36-13,J27-5,Load R-2,62.6,120.0,579.9,4.62,3.959,3.0,2.317,-0.004,16.05,16.0,0.7,0.0,2.339,0.021,-0.4292,26.16,124.0,62.0,Z pin (inverting) → J27-5 → 3ft cable → 124Ω
CAL_DISC,CAL_DISC_P,P,U36,U36-2,J27-10,Load R-1,64.0,120.0,234.0,4.62,1.606,3.0,2.321,0.029,15.87,15.91,0.0,0.4,2.318,0.015,-0.4382,25.69,124.0,62.0,Y pin (non-inverting) → J27-10 → 3ft cable → 124Ω
CAL_DISC,CAL_DISC_N,N,U36,U36-3,J27-11,Load R-2,64.0,120.0,234.0,4.62,1.606,3.0,2.339,0.009,15.91,15.98,0.1,0.0,2.342,0.024,-0.4382,25.69,124.0,62.0,Z pin (inverting) → J27-11 → 3ft cable → 124Ω
TXLO_SPI_SDO,TXLO_SPI_SDO_P,P,U837,U837-10,J26-1,Load R-1,65.5,120.0,93.9,4.62,0.651,3.0,2.33,0.015,16.03,16.03,0.4,0.0,2.341,0.03,-0.4475,25.48,124.0,62.0,Y pin (non-inverting) → J26-1 → 3ft cable → 124Ω
TXLO_SPI_SDO,TXLO_SPI_SDO_N,N,U837,U837-11,J26-2,Load R-2,65.5,120.0,93.9,4.62,0.651,3.0,2.343,0.022,15.82,15.8,0.0,0.2,2.343,0.015,-0.4475,25.48,124.0,62.0,Z pin (inverting) → J26-2 → 3ft cable → 124Ω
TXLO_SPI_SCLK,TXLO_SPI_SCLK_P,P,U837,U837-6,J26-7,Load R-1,63.2,120.0,237.3,4.62,1.627,3.0,2.329,0.016,16.09,15.9,0.0,0.4,2.308,0.002,-0.4331,25.68,124.0,62.0,Y pin (non-inverting) → J26-7 → 3ft cable → 124Ω
TXLO_SPI_SCLK,TXLO_SPI_SCLK_N,N,U837,U837-5,J26-8,Load R-2,63.2,120.0,237.3,4.62,1.627,3.0,2.327,0.034,15.88,15.87,0.3,0.0,2.337,0.034,-0.4331,25.68,124.0,62.0,Z pin (inverting) → J26-8 → 3ft cable → 124Ω
TXLO_SPI_CS_N,TXLO_SPI_CS_N_P,P,U837,U837-14,J26-4,Load R-1,64.5,120.0,128.0,4.62,0.884,3.0,2.338,0.01,16.06,16.07,0.2,0.0,2.345,0.015,-0.4413,25.51,124.0,62.0,Y pin (non-inverting) → J26-4 → 3ft cable → 124Ω
TXLO_SPI_CS_N,TXLO_SPI_CS_N_N,N,U837,U837-13,J26-5,Load R-2,64.5,120.0,128.0,4.62,0.884,3.0,2.341,0.019,15.93,15.95,0.0,0.1,2.307,0.016,-0.4413,25.51,124.0,62.0,Z pin (inverting) → J26-5 → 3ft cable → 124Ω
TXLO_DISC,TXLO_DISC_P,P,U837,U837-2,J26-12,Load R-1,62.6,120.0,400.5,4.62,2.738,3.0,2.337,0.016,16.15,15.91,0.0,0.2,2.319,0.009,-0.4292,25.88,124.0,62.0,Y pin (non-inverting) → J26-12 → 3ft cable → 124Ω
TXLO_DISC,TXLO_DISC_N,N,U837,U837-3,J26-13,Load R-2,62.6,120.0,400.5,4.62,2.738,3.0,2.336,-0.003,16.19,16.15,0.0,0.0,2.309,0.001,-0.4292,25.88,124.0,62.0,Z pin (inverting) → J26-13 → 3ft cable → 124Ω
RXLO_SPI_SDO,RXLO_SPI_SDO_P,P,U839,U839-10,J25-2,Load R-1,63.9,120.0,248.2,4.62,1.702,3.0,2.338,0.013,15.82,15.87,0.0,0.0,2.311,0.028,-0.4376,25.67,124.0,62.0,Y pin (non-inverting) → J25-2 → 3ft cable → 124Ω
RXLO_SPI_SDO,RXLO_SPI_SDO_N,N,U839,U839-11,J25-3,Load R-2,63.9,120.0,248.2,4.62,1.702,3.0,2.311,0.023,16.03,15.85,0.0,0.0,2.31,0.028,-0.4376,25.67,124.0,62.0,Z pin (inverting) → J25-3 → 3ft cable → 124Ω
RXLO_SPI_SCLK,RXLO_SPI_SCLK_P,P,U839,U839-6,J25-8,Load R-1,66.2,120.0,124.1,4.62,0.858,3.0,2.307,0.01,15.93,15.88,0.9,0.0,2.337,0.022,-0.4518,25.52,124.0,62.0,Y pin (non-inverting) → J25-8 → 3ft cable → 124Ω
RXLO_SPI_SCLK,RXLO_SPI_SCLK_N,N,U839,U839-5,J25-9,Load R-2,66.2,120.0,124.1,4.62,0.858,3.0,2.308,0.008,15.96,15.96,0.4,0.0,2.322,0.018,-0.4518,25.52,124.0,62.0,Z pin (inverting) → J25-9 → 3ft cable → 124Ω
RXLO_SPI_CS_N,RXLO_SPI_CS_N_P,P,U839,U839-14,J25-5,Load R-1,63.6,120.0,258.5,4.62,1.77,3.0,2.333,0.006,15.84,16.04,0.0,0.1,2.303,0.001,-0.4357,25.7,124.0,62.0,Y pin (non-inverting) → J25-5 → 3ft cable → 124Ω
RXLO_SPI_CS_N,RXLO_SPI_CS_N_N,N,U839,U839-13,J25-6,Load R-2,63.6,120.0,258.5,4.62,1.77,3.0,2.312,0.002,15.96,16.13,0.0,0.0,2.303,0.028,-0.4357,25.7,124.0,62.0,Z pin (inverting) → J25-6 → 3ft cable → 124Ω
RXLO_DISC,RXLO_DISC_P,P,U839,U839-2,J25-11,Load R-1,63.4,120.0,357.3,4.62,2.446,3.0,2.315,0.018,16.14,16.1,0.0,0.7,2.301,-0.003,-0.4344,25.81,124.0,62.0,Y pin (non-inverting) → J25-11 → 3ft cable → 124Ω
RXLO_DISC,RXLO_DISC_N,N,U839,U839-3,J25-12,Load R-2,63.4,120.0,357.3,4.62,2.446,3.0,2.334,0.019,16.03,16.02,0.0,0.0,2.302,0.019,-0.4344,25.81,124.0,62.0,Z pin (inverting) → J25-12 → 3ft cable → 124Ω
P48V_ENABLE,P48V_ENABLE_P,P,U136,U136-2,J24-13,Load R-1,102.1,120.0,255.7,4.62,1.773,3.0,2.343,0.006,16.3,16.09,0.6,0.0,2.362,0.006,-0.6066,25.99,124.0,62.0,Y pin (non-inverting) → J24-13 → 3ft cable → 124Ω
P48V_ENABLE,P48V_ENABLE_N,N,U136,U136-3,J24-14,Load R-2,102.1,120.0,255.7,4.62,1.773,3.0,2.342,0.005,16.18,16.09,0.0,0.0,2.341,0.008,-0.6066,25.99,124.0,62.0,Z pin (inverting) → J24-14 → 3ft cable → 124Ω
FAN_ENABLE,FAN_ENABLE_P,P,U136,U136-6,J24-18,Load R-1,102.1,120.0,298.1,4.62,2.066,3.0,2.332,0.007,16.3,16.39,0.4,0.6,2.345,-0.012,-0.6066,26.09,124.0,62.0,Y pin (non-inverting) → J24-18 → 3ft cable → 124Ω
